! ------------------------------------------------------------- !
! Met Data from Falling Creek Reservoir                         !
! Test ELCOM                                                    !
! 2015 - Mar 2024                                               !
7 data sets
0 seconds between data
0	0	0	0	0	0	0	0
! ------       -------     -------- ------ ------
TIME	AIR_TEMP	WIND_SPEED	WIND_DIR	SOLAR_RAD	LW_RAD_IN	REL_HUM	RAIN
2015008.5833	-6.7	1.23	116.27	156.52	220.05	0.5541	0
2015008.6250	-5.12	1.82	178.72	444.54	230.26	0.5067	0
2015008.6667	-3.37	1.78	195.21	542.8	239.44	0.4222	0
2015008.7083	-2.25	2.18	196.33	576.14	248.14	0.3819	0
2015008.7500	-1.38	2.63	184.88	547.73	249.53	0.3661	0
2015008.7917	-0.39	1.91	190.62	455.35	248.07	0.3628	0
2015008.8333	-0.28	1.73	199.75	197.86	250.7	0.3681	0
2015008.8750	-0.68	1.62	214.16	21.6	249.55	0.3966	0
2015008.9167	-1.19	1.28	204.39	2.09	246.2	0.4414	0
2015008.9583	-1.59	1.37	210.26	0	244.51	0.4677	0
2015009.0000	-1.84	1.18	217.48	0	243.93	0.4696	0
2015009.0417	-2.28	1.27	214.28	0	243.58	0.5063	0
2015009.0833	-2.69	1.41	215.83	0	244.51	0.5616	0
2015009.1250	-2.5	1.62	206	0	246.19	0.5557	0
2015009.1667	-2.5	1.6	207.42	0	246.96	0.5613	0
2015009.2083	-2.6	0.74	181.76	0	248.12	0.5635	0
2015009.2500	-3.06	0.45	63.17	0	252.65	0.643	0
2015009.2917	-3.17	0.67	133.96	0	259.62	0.6853	0
2015009.3333	-3.34	0.95	165.27	0	259.09	0.7002	0
2015009.3750	-3.51	1.4	187.97	0	261.47	0.7125	0
2015009.4167	-3.38	1.28	212.7	0	270.96	0.7228	0
2015009.4583	-2.58	1.4	293.09	0	302.9	0.7355	0
2015009.5000	-1.37	1.42	279.64	4.35	286.16	0.8179	0
2015009.5417	-0.25	1.57	320.63	52.07	287.62	0.9022	0
2015009.5833	1.82	1.43	303.22	96.58	328.1	0.9219	0
2015009.6250	5.34	0.92	253.97	160.84	321.48	0.9098	0
