! --------------------------------------------------------------- !
!  ELCOM Temporal Boundary Condition file
!  Generated by ARMS
! !
! File was created from the following resources on 2015-06-24 06:07:10
! HEADER               BC     ARMS Address
! INFLOW               1     FCR Weir Inflow 1 Drain
! WTR_TEMP			   2     FCR Weir Inflow Temp 1 Drain
! SALINITY			   3     FCR Weir Inflow Salinity 1 Drain
! --------------------------------------------------------------- !
3 data sets
0 seconds between data
0         1        1            1
TIME	INFLOW	WTR_TEMP	SALINITY
2022036.6667	0.0228	2.562125	0
2022036.7083	0.022	2.859375	0
2022036.7500	0.0216	3.282375	0
2022036.7917	0.0211	3.501625	0
2022036.8333	0.0203	3.478125	0
2022036.8750	0.0197	3.131375	0
2022036.9167	0.0194	2.74775	0
2022036.9583	0.0188	2.427625	0
2022037.0000	0.0186	2.17725	0
2022037.0417	0.0181	1.95425	0
2022037.0833	0.0181	1.77775	0
2022037.1250	0.0178	1.60775	0
2022037.1667	0.0169	1.448	0
2022037.2083	0.0169	1.316375	0
2022037.2500	0.0164	1.195375	0
2022037.2917	0.0164	1.04825	0
2022037.3333	0.016	0.91325	0
2022037.3750	0.0153	0.77325	0
2022037.4167	0.0149	0.62725	0
2022037.4583	0.0144	0.499875	0
2022037.5000	0.0137	0.393375	0
2022037.5417	0.0136	0.3655	0
2022037.5833	0.0131	0.406375	0
2022037.6250	0.0126	0.596375	0
2022037.6667	0.0124	1.082375	0
2022037.7083	0.0124	1.6465	0
2022037.7500	0.0124	2.275625	0
2022037.7917	0.0122	2.718875	0
2022037.8333	0.0121	2.807125	0
2022037.8750	0.0119	2.508875	0
2022037.9167	0.0119	2.139	0
2022037.9583	0.0119	1.78425	0
2022038.0000	0.0118	1.47275	0
2022038.0417	0.0116	1.230125	0
2022038.0833	0.0114	1.062125	0
2022038.1250	0.0113	0.879875	0
2022038.1667	0.0113	0.737125	0
2022038.2083	0.0113	0.60225	0
2022038.2500	0.0112	0.476875	0
2022038.2917	0.011	0.3605	0
2022038.3333	0.011	0.262	0
2022038.3750	0.0108	0.183625	0
2022038.4167	0.0109	0.114	0
2022038.4583	0.0107	0.0395	0
2022038.5000	0.0106	0.02325	0
2022038.5417	0.0103	0.198375	0
2022038.5833	0.0102	0.574625	0
2022038.6250	0.0103	0.868	0
2022038.6667	0.0102	1.229375	0
2022038.7083	0.0102	1.617625	0
2022038.7500	0.0103	1.846125	0
2022038.7917	0.0104	2.23075	0
2022038.8333	0.0107	2.28925	0
2022038.8750	0.0113	2.118125	0
2022038.9167	0.0116	2.17275	0
2022038.9583	0.0116	2.098625	0
2022039.0000	0.0109	1.945	0
2022039.0417	0.0104	1.743125	0
2022039.0833	0.0103	1.480375	0
2022039.1250	0.0101	1.241625	0
2022039.1667	0.01	1.13975	0
2022039.2083	0.0099	1.04325	0
2022039.2500	0.0098	0.927125	0
2022039.2917	0.0095	0.827875	0
